Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Palau,Office Supplies,Online,H,2020-03-06,517073523,2020-03-26,2401,651.21,524.96,1563555.21,1260428.96,303126.25
Europe,Poland,Beverages,Online,L,2014-04-18,380507028,2014-05-26,9340,47.45,31.79,443183.0,296918.6,146264.4
North America,Canada,Cereal,Online,M,2019-01-08,504055583,2019-01-31,103,205.7,117.11,21187.1,12062.33,9124.77
Europe,Belarus,Snacks,Online,C,2018-01-19,954955518,2018-02-27,1414,152.58,97.44,215748.12,137780.16,77967.96
Middle East and North Africa,Oman,Cereal,Offline,H,2023-04-26,970755660,2023-06-02,7027,205.7,117.11,1445453.9,822931.97,622521.93
Sub-Saharan Africa,Burkina Faso,Office Supplies,Online,C,2016-03-03,309317338,2016-04-05,2729,651.21,524.96,1777152.09,1432615.84,344536.25
Europe,Montenegro,Personal Care,Online,H,2016-11-24,598814380,2016-12-25,1337,81.73,56.67,109273.01,75767.79,33505.22
Middle East and North Africa,Azerbaijan,Cosmetics,Offline,M,2015-03-18,387733113,2015-05-05,7699,437.2,263.33,3366002.8,2027377.67,1338625.13
Sub-Saharan Africa,South Sudan,Clothes,Offline,C,2018-05-10,994872367,2018-06-17,3696,109.28,35.84,403898.88,132464.64,271434.24
North America,Greenland,Personal Care,Online,C,2024-05-25,659343469,2024-06-14,3239,81.73,56.67,264723.47,183554.13,81169.34
Europe,Portugal,Cosmetics,Online,M,2016-11-12,390570247,2016-11-13,7270,437.2,263.33,3178444.0,1914409.1,1264034.9
Sub-Saharan Africa,Sierra Leone,Clothes,Offline,C,2023-07-25,818289029,2023-07-27,8763,109.28,35.84,957620.64,314065.92,643554.72
Europe,Germany,Personal Care,Offline,H,2014-12-25,842548644,2015-01-24,7722,81.73,56.67,631119.06,437605.74,193513.32
Europe,Montenegro,Personal Care,Offline,L,2016-08-03,783710420,2016-08-10,6184,81.73,56.67,505418.32,350447.28,154971.04
Asia,Bangladesh,Cereal,Offline,L,2017-12-03,132448184,2018-01-15,3216,205.7,117.11,661531.2,376625.76,284905.44
Sub-Saharan Africa,Mauritius,Snacks,Online,M,2020-09-22,699748265,2020-10-03,9917,152.58,97.44,1513135.86,966312.48,546823.38
Asia,Kyrgyzstan,Snacks,Offline,H,2022-11-22,766909492,2022-12-15,4416,152.58,97.44,673793.28,430295.04,243498.24
Sub-Saharan Africa,Madagascar,Clothes,Online,C,2023-10-27,935543191,2023-10-29,6875,109.28,35.84,751300.0,246400.0,504900.0
Europe,Romania,Meat,Online,M,2019-01-25,977573192,2019-02-07,4486,421.89,364.69,1892598.54,1635999.34,256599.2
Europe,Malta,Personal Care,Offline,H,2016-05-21,285235822,2016-06-22,6473,81.73,56.67,529038.29,366824.91,162213.38
Europe,Latvia,Clothes,Online,H,2019-09-10,121079909,2019-10-02,9091,109.28,35.84,993464.48,325821.44,667643.04
Asia,Bangladesh,Fruits,Online,L,2023-09-14,467966783,2023-09-27,625,9.33,6.92,5831.25,4325.0,1506.25
Middle East and North Africa,Yemen,Household,Online,C,2019-04-18,479070270,2019-05-08,6394,668.27,502.54,4272918.38,3213240.76,1059677.62
Asia,Myanmar,Vegetables,Offline,H,2020-03-28,727876698,2020-04-19,3745,154.06,90.93,576954.7,340532.85,236421.85
Sub-Saharan Africa,The Gambia,Office Supplies,Online,L,2015-01-28,958184897,2015-03-07,7059,651.21,524.96,4596891.39,3705692.64,891198.75
Europe,Russia,Fruits,Offline,H,2015-03-26,534106194,2015-05-13,2747,9.33,6.92,25629.51,19009.24,6620.27
Sub-Saharan Africa,Malawi,Snacks,Online,M,2017-08-08,690064418,2017-08-29,4251,152.58,97.44,648617.58,414217.44,234400.14
Middle East and North Africa,Oman,Cosmetics,Offline,M,2020-08-01,480795896,2020-09-10,7045,437.2,263.33,3080074.0,1855159.85,1224914.15
Central America and the Caribbean,Belize,Fruits,Offline,H,2018-09-24,831349456,2018-10-20,3633,9.33,6.92,33895.89,25140.36,8755.53
Central America and the Caribbean,Haiti,Baby Food,Online,M,2018-10-17,487086427,2018-10-30,8553,255.28,159.42,2183409.84,1363519.26,819890.58
Europe,Slovakia,Cosmetics,Offline,L,2023-09-07,963680636,2023-10-01,3370,437.2,263.33,1473364.0,887422.1,585941.9
Middle East and North Africa,Oman,Vegetables,Online,L,2016-06-02,697118413,2016-07-16,1685,154.06,90.93,259591.1,153217.05,106374.05
Middle East and North Africa,Qatar,Office Supplies,Offline,M,2018-12-18,893698585,2019-02-02,4126,651.21,524.96,2686892.46,2165984.96,520907.5
Sub-Saharan Africa,Namibia,Household,Offline,M,2022-09-11,580032479,2022-09-29,3355,668.27,502.54,2242045.85,1686021.7,556024.15
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Online,L,2015-02-22,653043925,2015-03-31,9064,152.58,97.44,1382985.12,883196.16,499788.96
Europe,Slovenia,Cosmetics,Online,H,2017-06-09,729969251,2017-07-19,2978,437.2,263.33,1301981.6,784196.74,517784.86
Asia,Uzbekistan,Baby Food,Online,L,2014-10-09,498357284,2014-10-12,3850,255.28,159.42,982828.0,613767.0,369061.0
Europe,United Kingdom,Personal Care,Offline,H,2015-03-27,166069352,2015-04-16,2467,81.73,56.67,201627.91,139804.89,61823.02
Sub-Saharan Africa,Zambia,Cosmetics,Online,C,2023-01-26,911279284,2023-02-12,6646,437.2,263.33,2905631.2,1750091.18,1155540.02
Europe,Poland,Clothes,Online,H,2022-08-21,832473409,2022-09-27,6236,109.28,35.84,681470.08,223498.24,457971.84
Sub-Saharan Africa,Comoros,Office Supplies,Online,C,2015-11-06,798450553,2015-11-14,8117,651.21,524.96,5285871.57,4261100.32,1024771.25
Asia,Singapore,Beverages,Offline,L,2016-10-19,398322045,2016-11-15,1200,47.45,31.79,56940.0,38148.0,18792.0
Europe,Portugal,Office Supplies,Online,L,2014-05-15,191511714,2014-06-07,1427,651.21,524.96,929276.67,749117.92,180158.75
Europe,Switzerland,Vegetables,Online,M,2020-04-26,357755887,2020-06-08,6772,154.06,90.93,1043294.32,615777.96,427516.36
Europe,France,Household,Online,C,2021-03-08,247103393,2021-03-26,2240,668.27,502.54,1496924.8,1125689.6,371235.2
Australia and Oceania,Samoa,Beverages,Online,C,2015-09-11,629915559,2015-10-28,4867,47.45,31.79,230939.15,154721.93,76217.22
Sub-Saharan Africa,Lesotho,Personal Care,Online,L,2020-02-16,546866214,2020-02-28,8720,81.73,56.67,712685.6,494162.4,218523.2
Asia,South Korea,Fruits,Offline,C,2020-03-05,458941686,2020-03-19,9898,9.33,6.92,92348.34,68494.16,23854.18
Europe,Poland,Cosmetics,Online,C,2019-02-02,897440803,2019-03-13,1531,437.2,263.33,669353.2,403158.23,266194.97
Central America and the Caribbean,Antigua and Barbuda,Household,Online,H,2021-08-11,213974893,2021-09-16,8781,668.27,502.54,5868078.87,4412803.74,1455275.13
Europe,Austria,Cosmetics,Offline,L,2017-12-12,430467784,2018-01-24,3838,437.2,263.33,1677973.6,1010660.54,667313.06
Europe,Switzerland,Meat,Online,C,2021-03-16,489155805,2021-03-27,928,421.89,364.69,391513.92,338432.32,53081.6
Europe,Norway,Cereal,Offline,C,2019-04-02,302587783,2019-05-03,1304,205.7,117.11,268232.8,152711.44,115521.36
Middle East and North Africa,Qatar,Personal Care,Online,M,2022-11-06,303625047,2022-11-09,8253,81.73,56.67,674517.69,467697.51,206820.18
Europe,Hungary,Cosmetics,Online,L,2017-07-12,995441424,2017-08-03,2093,437.2,263.33,915059.6,551149.69,363909.91
Middle East and North Africa,Yemen,Meat,Offline,H,2022-05-28,701523244,2022-07-07,5172,421.89,364.69,2182015.08,1886176.68,295838.4
Sub-Saharan Africa,Cote d'Ivoire,Meat,Offline,H,2020-09-02,515669333,2020-10-22,6870,421.89,364.69,2898384.3,2505420.3,392964.0
Europe,Malta,Clothes,Online,M,2018-05-30,251991021,2018-06-06,8598,109.28,35.84,939589.44,308152.32,631437.12
Europe,Montenegro,Beverages,Offline,L,2017-11-11,694912135,2017-11-19,8798,47.45,31.79,417465.1,279688.42,137776.68
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,C,2022-10-09,449169003,2022-10-17,7945,651.21,524.96,5173863.45,4170807.2,1003056.25
